Procedure_Count,Infections_Reported,Infections_Predicted,Operative_Procedure_Appendectomy,Operative_Procedure_Cataract surgery,Operative_Procedure_Cesarean section,Operative_Procedure_Cholecystectomy,Operative_Procedure_Coronary artery bypass graft (CABG),Operative_Procedure_Hernia repair,Operative_Procedure_Hip replacement,Operative_Procedure_Hysterectomy,Operative_Procedure_Knee arthroscopy,Operative_Procedure_Prostatectomy,SIR_High,SIR_Low,SIR_Mid
10,4,39,True,False,False,False,False,False,False,False,False,False,True,False,False
8,15,27,True,False,False,False,False,False,False,False,False,False,False,False,True
2,2,38,False,False,False,True,False,False,False,False,False,False,True,False,False
1,19,38,False,False,False,True,False,False,False,False,False,False,True,False,False
0,14,27,False,True,False,False,False,False,False,False,False,False,False,False,True
2,29,13,False,False,True,False,False,False,False,False,False,False,True,False,False
4,2,49,False,False,False,False,False,False,False,False,True,False,True,False,False
10,19,37,True,False,False,False,False,False,False,False,False,False,True,False,False
1,13,3,True,False,False,False,False,False,False,False,False,False,False,False,True
2,30,41,False,False,False,False,False,True,False,False,False,False,True,False,False
3,15,17,False,False,False,True,False,False,False,False,False,False,False,False,True
6,28,43,False,False,False,False,False,False,False,False,True,False,True,False,False
2,28,47,False,False,False,False,False,False,False,False,False,True,True,False,False
8,30,24,False,True,False,False,False,False,False,False,False,False,True,False,False
7,30,6,False,False,True,False,False,False,False,False,False,False,True,False,False
3,16,37,False,False,False,False,False,False,False,True,False,False,True,False,False
0,27,27,False,False,True,False,False,False,False,False,False,False,True,False,False
0,23,4,False,False,False,False,False,False,True,False,False,False,True,False,False
0,19,2,True,False,False,False,False,False,False,False,False,False,False,False,True
0,22,43,False,True,False,False,False,False,False,False,False,False,True,False,False
7,17,30,False,False,False,False,False,False,True,False,False,False,True,False,False
2,17,46,False,False,False,False,False,False,False,False,True,False,True,False,False
5,21,41,False,False,False,False,False,False,False,True,False,False,True,False,False
2,13,19,False,False,False,True,False,False,False,False,False,False,False,False,True
10,17,18,False,True,False,False,False,False,False,False,False,False,False,False,True
4,14,47,False,True,False,False,False,False,False,False,False,False,True,False,False
6,14,10,True,False,False,False,False,False,False,False,False,False,False,False,True
1,5,39,False,False,False,False,True,False,False,False,False,False,True,False,False
5,26,2,False,True,False,False,False,False,False,False,False,False,True,False,False
5,14,22,False,False,False,False,False,True,False,False,False,False,False,False,True
10,17,6,False,False,False,False,False,False,False,True,False,False,False,False,True
2,3,22,False,False,False,False,False,False,False,True,False,False,False,False,True
5,22,6,False,False,False,False,False,True,False,False,False,False,True,False,False
9,7,45,False,False,False,False,False,False,False,False,False,True,True,False,False
9,14,33,False,False,False,False,False,True,False,False,False,False,True,False,False
4,2,41,False,False,False,False,False,True,False,False,False,False,True,False,False
1,29,18,False,False,False,False,False,False,False,True,False,False,True,False,False
8,14,8,False,False,True,False,False,False,False,False,False,False,False,False,True
7,12,47,False,False,False,False,False,False,False,True,False,False,True,False,False
2,8,50,False,False,False,False,True,False,False,False,False,False,True,False,False
7,1,17,True,False,False,False,False,False,False,False,False,False,False,True,False
8,23,40,False,False,False,False,False,False,True,False,False,False,True,False,False
2,7,47,False,False,True,False,False,False,False,False,False,False,True,False,False
2,28,44,False,False,False,True,False,False,False,False,False,False,True,False,False
1,29,41,False,False,False,False,False,False,True,False,False,False,True,False,False
7,19,24,True,False,False,False,False,False,False,False,False,False,False,False,True
9,16,13,False,False,False,False,True,False,False,False,False,False,False,False,True
0,12,43,False,False,False,False,True,False,False,False,False,False,True,False,False
7,0,24,False,False,False,True,False,False,False,False,False,False,False,False,True
6,1,18,False,False,True,False,False,False,False,False,False,False,False,True,False
6,29,38,False,False,False,False,False,False,False,False,False,True,True,False,False
2,14,14,False,False,False,False,False,True,False,False,False,False,False,False,True
0,11,15,False,False,True,False,False,False,False,False,False,False,False,False,True
3,13,26,False,False,False,False,False,False,False,False,False,True,False,False,True
8,24,39,False,False,False,False,True,False,False,False,False,False,True,False,False
4,28,9,False,False,False,False,False,False,False,True,False,False,True,False,False
0,1,3,True,False,False,False,False,False,False,False,False,False,False,True,False
4,17,50,False,False,False,True,False,False,False,False,False,False,True,False,False
7,21,18,True,False,False,False,False,False,False,False,False,False,True,False,False
7,6,27,False,False,False,False,False,False,False,False,True,False,False,False,True
4,28,20,False,False,False,False,False,False,False,False,True,False,True,False,False
8,22,46,False,False,True,False,False,False,False,False,False,False,True,False,False
0,30,13,False,False,False,False,True,False,False,False,False,False,True,False,False
3,28,32,False,False,False,False,True,False,False,False,False,False,True,False,False
2,24,47,False,False,False,False,False,True,False,False,False,False,True,False,False
1,5,9,False,False,False,False,False,True,False,False,False,False,False,True,False
7,13,18,False,False,False,False,False,True,False,False,False,False,False,False,True
6,7,29,False,False,False,False,False,False,False,True,False,False,False,False,True
8,26,21,False,False,False,False,False,False,True,False,False,False,True,False,False
1,21,2,False,True,False,False,False,False,False,False,False,False,True,False,False
3,1,36,False,False,False,False,False,False,True,False,False,False,True,False,False
5,16,40,True,False,False,False,False,False,False,False,False,False,True,False,False
10,4,17,False,False,False,False,False,False,True,False,False,False,False,True,False
2,13,10,False,False,False,False,False,False,False,True,False,False,False,False,True
7,24,47,True,False,False,False,False,False,False,False,False,False,True,False,False
2,23,1,False,False,False,False,False,False,True,False,False,False,True,False,False
1,29,11,False,False,False,False,False,False,False,True,False,False,True,False,False
2,28,5,False,True,False,False,False,False,False,False,False,False,True,False,False
10,19,42,False,False,False,False,False,False,True,False,False,False,True,False,False
5,20,39,False,False,False,False,False,False,False,True,False,False,True,False,False
1,28,43,False,False,False,False,False,True,False,False,False,False,True,False,False
7,20,28,False,False,False,False,True,False,False,False,False,False,True,False,False
0,21,29,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2,1,False,False,False,False,True,False,False,False,False,False,False,True,False
1,4,8,False,False,False,True,False,False,False,False,False,False,False,True,False
9,15,46,False,False,False,True,False,False,False,False,False,False,True,False,False
5,17,1,False,False,False,True,False,False,False,False,False,False,False,False,True
1,25,28,False,True,False,False,False,False,False,False,False,False,True,False,False
1,16,32,False,False,False,False,False,True,False,False,False,False,True,False,False
9,10,9,False,False,False,False,True,False,False,False,False,False,False,False,True
7,16,33,False,False,False,False,False,False,False,True,False,False,True,False,False
1,15,43,True,False,False,False,False,False,False,False,False,False,True,False,False
6,25,7,False,False,False,False,False,False,False,True,False,False,True,False,False
2,22,36,True,False,False,False,False,False,False,False,False,False,True,False,False
7,1,32,False,False,False,False,False,False,False,False,True,False,True,False,False
6,3,46,False,False,False,False,False,False,False,True,False,False,True,False,False
7,20,5,False,False,False,False,False,False,True,False,False,False,True,False,False
6,6,43,False,False,False,False,False,False,True,False,False,False,True,False,False
10,1,39,False,False,True,False,False,False,False,False,False,False,True,False,False
5,29,44,False,False,False,False,False,True,False,False,False,False,True,False,False
6,5,18,True,False,False,False,False,False,False,False,False,False,False,True,False
4,16,31,True,False,False,False,False,False,False,False,False,False,True,False,False
6,6,26,False,False,False,False,False,True,False,False,False,False,False,False,True
0,24,0,False,True,False,False,False,False,False,False,False,False,True,False,False
0,4,42,False,False,True,False,False,False,False,False,False,False,True,False,False
8,4,32,False,True,False,False,False,False,False,False,False,False,True,False,False
4,19,39,False,True,False,False,False,False,False,False,False,False,True,False,False
4,15,31,False,True,False,False,False,False,False,False,False,False,True,False,False
2,18,4,False,False,False,False,False,True,False,False,False,False,False,False,True
4,8,16,False,True,False,False,False,False,False,False,False,False,False,True,False
2,4,7,False,False,False,False,False,False,True,False,False,False,False,True,False
8,7,41,False,False,False,True,False,False,False,False,False,False,True,False,False
8,8,33,False,False,False,False,False,False,False,False,True,False,True,False,False
5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
0,9,22,True,False,False,False,False,False,False,False,False,False,False,False,True
6,24,34,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1,49,False,False,False,False,False,True,False,False,False,False,True,False,False
9,8,6,False,False,False,False,False,False,False,True,False,False,False,True,False
9,10,14,False,False,False,False,False,True,False,False,False,False,False,False,True
3,3,19,True,False,False,False,False,False,False,False,False,False,False,True,False
7,21,49,True,False,False,False,False,False,False,False,False,False,True,False,False
5,21,24,False,False,False,False,False,False,False,False,True,False,True,False,False
3,21,2,False,True,False,False,False,False,False,False,False,False,True,False,False
3,1,45,False,False,False,False,False,True,False,False,False,False,True,False,False
1,22,23,False,False,False,False,True,False,False,False,False,False,True,False,False
1,28,33,False,False,False,False,False,False,False,False,True,False,True,False,False
3,5,45,False,False,False,False,False,False,True,False,False,False,True,False,False
4,26,21,True,False,False,False,False,False,False,False,False,False,True,False,False
7,13,10,False,False,False,False,False,False,False,False,True,False,False,False,True
5,0,47,False,False,False,False,False,True,False,False,False,False,True,False,False
3,17,7,True,False,False,False,False,False,False,False,False,False,False,False,True
10,6,38,False,False,False,False,False,False,False,True,False,False,True,False,False
6,0,42,False,False,False,False,False,False,False,False,True,False,True,False,False
7,30,34,False,False,True,False,False,False,False,False,False,False,True,False,False
1,0,48,True,False,False,False,False,False,False,False,False,False,True,False,False
6,0,45,False,False,False,False,False,True,False,False,False,False,True,False,False
1,23,37,False,False,False,True,False,False,False,False,False,False,True,False,False
1,3,7,False,False,False,False,True,False,False,False,False,False,False,True,False
7,3,36,False,False,False,False,False,False,False,False,False,True,True,False,False
1,28,26,False,True,False,False,False,False,False,False,False,False,True,False,False
10,17,27,False,False,False,False,False,False,False,False,False,True,False,False,True
8,26,39,False,False,False,False,False,True,False,False,False,False,True,False,False
0,10,33,False,False,False,False,False,False,True,False,False,False,True,False,False
8,26,31,False,False,False,False,False,False,True,False,False,False,True,False,False
0,0,14,False,False,False,True,False,False,False,False,False,False,False,True,False
9,27,43,False,True,False,False,False,False,False,False,False,False,True,False,False
9,9,16,False,False,True,False,False,False,False,False,False,False,False,True,False
1,8,32,False,False,False,True,False,False,False,False,False,False,True,False,False
5,22,46,False,False,False,False,False,False,False,False,False,True,True,False,False
5,3,45,False,False,False,True,False,False,False,False,False,False,True,False,False
0,27,15,False,False,False,False,False,False,False,False,False,True,True,False,False
6,5,28,True,False,False,False,False,False,False,False,False,False,False,False,True
7,29,8,False,False,False,False,False,False,True,False,False,False,True,False,False
1,15,32,True,False,False,False,False,False,False,False,False,False,True,False,False
7,1,48,False,False,False,False,True,False,False,False,False,False,True,False,False
8,22,28,False,True,False,False,False,False,False,False,False,False,True,False,False
5,17,12,False,False,True,False,False,False,False,False,False,False,False,False,True
4,9,20,False,False,False,False,False,False,False,False,False,True,False,False,True
8,23,20,False,False,True,False,False,False,False,False,False,False,True,False,False
10,23,4,False,False,False,False,False,False,False,False,False,True,True,False,False
8,16,9,False,False,False,False,False,True,False,False,False,False,False,False,True
0,12,5,False,False,False,True,False,False,False,False,False,False,False,False,True
10,23,50,False,False,False,False,True,False,False,False,False,False,True,False,False
2,17,12,False,False,False,False,False,False,True,False,False,False,False,False,True
8,21,0,False,False,False,False,False,False,False,False,False,True,True,False,False
10,12,19,False,False,True,False,False,False,False,False,False,False,False,False,True
1,16,46,False,False,False,False,True,False,False,False,False,False,True,False,False
3,4,45,False,False,False,False,False,False,False,True,False,False,True,False,False
3,10,7,False,False,False,False,False,False,False,True,False,False,False,False,True
1,6,9,True,False,False,False,False,False,False,False,False,False,False,True,False
2,28,8,False,False,False,False,False,False,True,False,False,False,True,False,False
2,9,48,False,False,False,False,False,True,False,False,False,False,True,False,False
0,16,40,False,False,True,False,False,False,False,False,False,False,True,False,False
5,14,2,False,False,False,True,False,False,False,False,False,False,False,False,True
7,17,10,False,False,False,True,False,False,False,False,False,False,False,False,True
2,22,11,False,False,True,False,False,False,False,False,False,False,True,False,False
4,21,9,False,True,False,False,False,False,False,False,False,False,True,False,False
0,18,24,False,False,False,False,False,True,False,False,False,False,False,False,True
9,29,48,False,False,False,False,True,False,False,False,False,False,True,False,False
6,25,48,False,False,False,False,False,False,False,False,False,True,True,False,False
9,1,24,False,True,False,False,False,False,False,False,False,False,False,False,True
0,25,10,False,False,False,False,False,False,False,False,False,True,True,False,False
10,3,35,False,False,False,False,False,False,False,False,False,True,True,False,False
8,2,38,False,True,False,False,False,False,False,False,False,False,True,False,False
7,6,25,True,False,False,False,False,False,False,False,False,False,False,False,True
6,23,13,False,False,False,False,False,False,False,True,False,False,True,False,False
9,17,38,False,False,False,False,False,False,False,False,False,True,True,False,False
6,9,39,False,True,False,False,False,False,False,False,False,False,True,False,False
4,6,0,False,True,False,False,False,False,False,False,False,False,False,True,False
4,7,3,False,False,False,False,False,False,False,False,True,False,False,True,False
10,5,29,True,False,False,False,False,False,False,False,False,False,False,False,True
4,21,11,False,False,False,False,False,False,True,False,False,False,True,False,False
0,25,34,False,False,False,False,False,False,False,False,True,False,True,False,False
7,0,12,False,False,False,False,False,False,False,False,True,False,False,True,False
10,3,30,False,False,True,False,False,False,False,False,False,False,True,False,False
0,13,37,False,False,False,False,False,False,False,True,False,False,True,False,False
3,16,42,False,True,False,False,False,False,False,False,False,False,True,False,False
8,19,22,False,False,False,False,False,False,False,True,False,False,False,False,True
8,17,3,False,False,False,False,False,True,False,False,False,False,False,False,True
4,10,15,False,False,True,False,False,False,False,False,False,False,False,False,True
3,28,6,False,False,False,False,False,False,True,False,False,False,True,False,False
2,20,21,False,False,False,False,False,False,False,True,False,False,True,False,False
2,25,28,False,False,False,True,False,False,False,False,False,False,True,False,False
4,13,10,False,False,False,False,False,False,False,False,False,True,False,False,True
9,8,32,False,False,False,False,False,True,False,False,False,False,True,False,False
0,26,28,True,False,False,False,False,False,False,False,False,False,True,False,False
4,14,38,False,False,False,False,False,False,True,False,False,False,True,False,False
5,11,11,False,False,False,False,False,True,False,False,False,False,False,False,True
6,9,6,False,False,False,False,False,False,False,False,False,True,False,True,False
8,18,38,False,False,True,False,False,False,False,False,False,False,True,False,False
2,23,41,False,False,False,False,False,False,False,False,False,True,True,False,False
1,18,47,False,False,False,False,False,False,False,False,True,False,True,False,False
2,5,25,False,False,False,False,False,False,False,False,False,True,False,False,True
8,19,39,False,False,False,False,False,False,False,False,True,False,True,False,False
6,23,8,False,False,True,False,False,False,False,False,False,False,True,False,False
8,26,40,False,False,False,False,True,False,False,False,False,False,True,False,False
1,5,33,False,False,False,False,False,False,False,False,True,False,True,False,False
4,7,44,True,False,False,False,False,False,False,False,False,False,True,False,False
3,0,12,False,False,False,False,False,False,False,False,False,True,False,True,False
1,21,35,False,False,False,False,False,False,False,False,False,True,True,False,False
8,16,24,True,False,False,False,False,False,False,False,False,False,False,False,True
8,16,23,False,False,False,True,False,False,False,False,False,False,False,False,True
5,23,43,False,True,False,False,False,False,False,False,False,False,True,False,False
10,14,16,False,False,False,False,True,False,False,False,False,False,False,False,True
5,6,1,False,False,False,False,False,False,True,False,False,False,False,True,False
7,18,12,False,False,False,False,False,False,False,False,True,False,False,False,True
5,21,30,True,False,False,False,False,False,False,False,False,False,True,False,False
0,30,28,False,False,True,False,False,False,False,False,False,False,True,False,False
3,24,49,False,False,False,False,False,False,False,False,True,False,True,False,False
6,22,27,False,True,False,False,False,False,False,False,False,False,True,False,False
1,27,26,False,False,True,False,False,False,False,False,False,False,True,False,False
8,2,14,False,False,False,False,False,True,False,False,False,False,False,True,False
7,29,30,False,False,False,False,False,False,False,False,False,True,True,False,False
7,29,39,False,False,False,False,False,True,False,False,False,False,True,False,False
6,28,14,False,False,False,False,False,False,False,False,True,False,True,False,False
3,21,32,False,True,False,False,False,False,False,False,False,False,True,False,False
1,10,19,False,False,False,False,True,False,False,False,False,False,False,False,True
2,19,41,False,False,False,False,False,False,False,False,True,False,True,False,False
5,29,11,True,False,False,False,False,False,False,False,False,False,True,False,False
4,28,36,False,False,False,False,False,False,False,True,False,False,True,False,False
7,18,8,False,False,False,False,False,False,False,False,True,False,False,False,True
5,8,22,False,False,False,False,False,False,False,False,False,True,False,False,True
5,9,7,False,False,False,False,False,False,False,False,False,True,False,True,False
0,1,31,False,False,False,False,False,False,False,False,True,False,True,False,False
3,0,47,False,False,True,False,False,False,False,False,False,False,True,False,False
4,30,13,False,False,False,False,False,False,False,True,False,False,True,False,False
10,29,26,True,False,False,False,False,False,False,False,False,False,True,False,False
2,15,24,False,False,False,False,False,False,False,False,True,False,False,False,True
